,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-30,2023-03-31,2023-06-30,2023-09-29,2023-12-29,2024-03-28,2024-06-28,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
BAC,0.0024652994535628637,0.0014743469250651957,0.004232885351490508,0.002240823839573459,0.004684268279992963,0.005938427902667073,0.011983830235109938,0.006071571061879747,0.011310316592805687,0.015405170571703989,0.004132229731083351,0.0043901522836409124,0.008591217125148484,0.003885373771120121,0.004213546665004105,0.003273636337074738,0.0032716222389970683,0.003821807677008744
BLK,0.004965490341192795,0.003842478172438389,0.004169170977059477,0.006229022017633229,0.005223281915692215,0.0057248241555705555,0.005151266713752946,0.00504051906952639,0.012765621659244556,0.006556880631830885,0.010360774665005672,0.007206391417402304,0.009390050153745857,0.008153419274644542,0.010885681678481841,0.010986598110325943,0.005279549704857202,0.004962217539359236
C,0.003237039856646972,0.0016978427828365829,0.0017997569158557762,0.003244457632161842,0.003949256342382723,0.005167442452661336,0.006867666839138144,0.0057772083974472616,0.005864494544299339,0.006243676536748826,0.0045958102361917715,0.005249550852224937,0.006045957671521812,0.008200399390875121,0.005549418068250962,0.0037405156836110235,0.0021281510343729476,0.0022608917141947837
CAT,0.0028010507988348566,0.0015964624411015048,0.002422436768402817,0.0074621405681402925,0.006653819308696128,0.007080301482834006,0.008125204140963065,0.009405366367571085,0.008666925068981141,0.007243365314006473,0.007851100581278452,0.005564002036413022,0.008104506441178203,0.00685881611769777,0.004934799693372626,0.004103351175903462,0.004245175551286152,0.0042957236818428925
COP,0.0009573211115011314,0.0040640395268387985,0.0012401712435981202,0.0029578044604549676,0.00326422172842725,0.00431406308661467,0.007182116967324038,0.005574826947645854,0.00818861214476437,0.010077024536067297,0.010293963519372987,0.005762643061638179,0.01733282271662475,0.0169500913173239,0.011812481966233173,0.009600680153263716,0.007818799153866473,0.009429770742463147
CRM,0.004641758676629879,0.008158601360727288,0.003555225871607479,0.0023101679295272834,0.00281333511722228,0.0031326597518131012,0.003203635145584531,0.0039001332473110003,0.004824557565510402,0.006908779792305761,0.008710332234566971,0.0067831600305169855,0.009253334261380407,0.006060813655023024,0.005013044414595396,0.005330862174657549,0.004085875893966993,0.006515926218347715
CSCO,0.0063365040490550575,0.0049935745092015175,0.009078729096612368,0.00949098718253689,0.007688278486580662,0.00847242975056759,0.00993342322467147,0.011255610950523114,0.011500178399621539,0.012700628105276664,0.019449838511628324,0.023504480669741454,0.024824790721910413,0.030147646663155864,0.020672297442857205,0.014321432791191786,0.009613934339036272,0.007433641609455284
CVX,0.002487790966822902,0.004657118225521388,0.004363393551668814,0.006955036667831762,0.007215306024077096,0.019269902643065627,0.007610335062982926,0.00696564709030186,0.007450935810271413,0.009655444416526323,0.008731888843076607,0.011729547235324558,0.011741472492068776,0.011031882441579174,0.02956018346958188,0.022790527581874245,0.007886484356797889,0.009378939532277043
DE,0.0030703773655822186,0.0015722748899598623,0.002043332185856831,0.00398951321698778,0.006753143521734771,0.007360700624268764,0.007411188133427489,0.008806843565918212,0.009123487400384768,0.015770746910276225,0.0062970206593440095,0.005748623628444036,0.012358249911825868,0.012452962882433968,0.008909843569310587,0.006706282656411881,0.006504462713651694,0.004232349606571051
DHR,0.0036214552585033715,0.007243992431603665,0.012053996454882634,0.005936111225954576,0.007258654645328042,0.005434939069903574,0.0067387798787380306,0.006359304707301736,0.006066085116815253,0.007224932731432097,0.007449559546323948,0.011286221432341778,0.008383163414596849,0.01062927977911889,0.011389893325836155,0.013785303911992713,0.004014083830143788,0.0037317976522144546
EFA,0.013425929702561715,0.007450150379072765,0.008570581475117675,0.008582886299607692,0.012499197967030161,0.014512681145842664,0.013843970256933338,0.02250153262129092,0.024330354083529564,0.019876045419866376,0.023122785310568373,0.023049214829190003,0.03430652049197698,0.0271087545122103,0.020015661660451455,0.01937109316043429,0.0125858476811931,0.01924423582024257
GE,0.005169217714296371,0.0012439447256092685,0.0015074136171496374,0.0049146274022723035,0.004775223743449068,0.005804568526645103,0.010732866182071902,0.009387791082009836,0.010993719629237775,0.016172371975149796,0.010544240446354542,0.013641268028512347,0.016287185074003244,0.008610721717157866,0.005925149301341653,0.004325006575946644,0.003786208048712412,0.004883282169782943
GOOGL,0.004791984543077146,0.002858488329699499,0.003922425548825802,0.003187581416736753,0.0035439556376638368,0.004765746734498141,0.008177540179765797,0.004057705839500708,0.004823308680930669,0.005648430952009256,0.007628797155209733,0.006119313340983691,0.005809988934476708,0.0058663374730463765,0.00564575632258149,0.004157395057000052,0.004619444843358883,0.00492120450120277
GS,0.00278648744891964,0.0027628906895864323,0.0017613855258208715,0.0028854520957120183,0.006960349484027089,0.005345327050711948,0.006427942817313353,0.008102408953967128,0.009674404407214156,0.009917692858925055,0.008509281332101309,0.010636972102106295,0.006555936193584155,0.0054639503846443185,0.00356478260351755,0.002184316280003019,0.001980326805936229,0.002086368932821889
HD,0.005317308654450485,0.003502454624315244,0.004419691092493861,0.008334051329740263,0.007179418400146689,0.005695464491760485,0.009678502788339373,0.006695953098503606,0.0074814252097076565,0.007522568264886398,0.01229115021482613,0.01146750123513253,0.013812536262172076,0.007324752496141683,0.0070471751924809185,0.005785002798398964,0.009356010758867684,0.0071725460943560925
