date,market_vol_20d,market_vol_60d,market_ret_20d,market_ret_60d,dispersion_20d,breadth_1d,breadth_20d,avg_market_corr_60d,advance_decline_ratio,market_trend_200d
2023-04-26,0.11524114827736442,0.1531802622227678,0.022143535705694273,0.013263462587575603,0.014622432664453601,0.2,0.6909090909090909,0.31712025775986485,0.24444444444444444,1
2023-04-27,0.12472452819469933,0.15562740043970838,0.027556994090165432,0.018460855097114592,0.015476063590579623,0.9090909090909091,0.6727272727272727,0.3132826818345736,8.333333333333334,1
2023-04-28,0.1263493725044779,0.15509543246530824,0.030294653488609713,0.0163520065391074,0.015638980333780063,0.8545454545454545,0.7090909090909091,0.3117526835885596,5.222222222222222,1
2023-05-01,0.11748166016059834,0.15224587169262546,0.01494916247995226,0.0007578129812042533,0.015392058032879095,0.4727272727272727,0.6,0.31554322523054473,0.8666666666666667,1
2023-05-02,0.12426261728520921,0.15243382627244942,-0.0002676446336099536,0.00014063222784010954,0.015420510167061684,0.16363636363636364,0.4727272727272727,0.32845856532523054,0.19148936170212766,1
2023-05-03,0.12512891138215285,0.15257146707501407,-0.0015906753630273718,-0.0006168093286038623,0.01579094228643471,0.2545454545454545,0.45454545454545453,0.3342534063308088,0.3333333333333333,1
2023-05-04,0.12732844672322416,0.15079410303584323,-0.00605973911897828,-0.020505760369278425,0.015620489075144723,0.14545454545454545,0.41818181818181815,0.33038426752187755,0.16666666666666666,1
2023-05-05,0.14324991739717272,0.1539672533376073,0.008406882282840922,0.008656473689837574,0.016351102549268103,0.9454545454545454,0.5818181818181818,0.3322584349267576,13.0,1
2023-05-08,0.14323526695237757,0.15285622693333017,0.0076415870716128875,0.01774862853627379,0.016198815825379072,0.43636363636363634,0.5454545454545454,0.34291269639732164,0.75,1
2023-05-09,0.14424927439161064,0.15310173714755856,0.0029531601145214026,0.010926071968328177,0.016139299984921553,0.38181818181818183,0.45454545454545453,0.3431522662065666,0.6,1
2023-05-10,0.1441631570490056,0.15150884983360094,0.01176322850271716,0.0038650362584842224,0.016129355796748825,0.41818181818181815,0.45454545454545453,0.3449971351840528,0.696969696969697,1
