date,AAPL,MSFT,GOOGL,NVDA,META,AVGO,ADBE,CRM,ORCL,CSCO,JPM,BAC,WFC,GS,MS,C,BLK,SCHW,AXP,USB,UNH,JNJ,LLY,ABBV,MRK,PFE,TMO,ABT,DHR,AMGN,AMZN,TSLA,WMT,HD,MCD,NKE,SBUX,TGT,LOW,TJX,XOM,CVX,COP,BA,CAT,RTX,HON,UPS,GE,DE,SPY,QQQ,IWM,EFA,AGG
2020-06-30,140223200,34310300,40286000,367892000,33927100,25125000,2944700,4478900,18885900,21888800,19137000,61716200,46610000,3102800,11894300,23360400,1067100,15650400,4367100,7709300,2932900,7738300,3296300,8112500,9940804,25451676,1710300,5220900,2746342,2589000,75394000,253777500,20509200,4524600,3163100,9065500,11324000,3633900,4462400,6909200,22153600,8263600,6313900,65493100,2778800,10746400,3912968,3954900,13947676,1836600,113394800,38909200,32865900,32612900,7451100
2020-07-01,110737200,32061200,42182000,326648000,43399700,15661000,2581700,4754600,17856800,17129500,18755700,57379900,37509300,2620100,11363800,19206900,548600,21721400,3301000,6902400,2303800,6174800,2065100,6522900,9948769,73503009,1600200,3389600,2367108,6575800,127268000,199903500,19733700,3677300,2193800,5733800,6750000,2836400,4802300,8205700,17290100,6379400,5600000,49036700,2807800,6860300,2768680,8982100,24202957,1111100,72396500,34689200,26457500,25243100,6746500
2020-07-02,114041600,29315800,57218000,364056000,30633600,16638000,2503000,4200300,15478900,19632000,27845600,56000200,37013300,2699400,7488800,22042700,742000,7862700,4239700,5768200,1971700,5152200,1960200,6158800,6827825,45270881,1127800,3845300,1798032,3338000,131868000,258751500,17695800,3369800,2690200,5354900,6544400,2216100,3522900,6770600,18216600,5832800,4775000,41792300,2527500,8238300,2926769,3442900,14877567,1044900,69344200,31956500,24022400,20854100,3614300
2020-07-06,118655600,31897600,44712000,315892000,26206200,17561000,2761200,5794200,15309700,16152900,18625300,59589000,46983100,3567700,10649600,22613100,703100,13573500,4059600,6069500,2395000,6156400,2760100,7039000,8058282,27150935,1859200,5919100,2129664,3460400,137612000,308548500,21695100,3133800,3171500,4995000,7235300,3766400,3698700,7239100,22692000,6747500,5825100,49471700,2491900,6128200,2479239,3445900,15133900,947500,61713800,34589000,19858200,21537100,5945100
2020-07-07,112424400,33600700,42364000,357800000,27887800,16150000,2684600,5431500,13232100,17102800,25757200,60645800,36920500,2853500,8750700,21235300,557300,7198500,5564200,6683600,2075700,5622600,3273300,6345600,6956414,25148018,1368300,3389200,3118243,2365900,105150000,322345500,93458100,2927800,2399600,6352900,7515100,3908300,2991700,6414300,17407600,5898000,5995100,37105300,2018100,8783000,2781942,2194700,12526487,1118600,82910000,36578200,22661000,17394200,5454700
2020-07-08,117092000,33600000,31766000,365480000,29791300,18023000,1999200,4233700,12582200,15020800,18762200,52922600,38413400,2789700,12322200,19115300,435700,6916000,6382100,5969900,1987400,6257400,2781800,6154400,8211394,24256545,1456800,3815300,2120414,1993700,100752000,244669500,52217100,2294000,2776400,5634600,7346200,2845100,2753700,6327300,18291400,6736400,4896800,38116200,2279500,9306900,3806656,3051600,12928884,1042600,54638600,30426300,27358900,17363400,5026800
2020-07-09,125642800,33121700,41836000,494548000,22174900,25225000,2269800,6062800,15692600,26027700,25600800,79385900,38118900,3160100,9119900,24263900,462700,8475800,4484500,6103500,3061700,5738600,2955200,5817300,7966058,20363702,920200,4576800,2747131,1739600,127774000,175764000,42771600,2994700,2333500,6282300,9618200,2861000,3397700,6078400,25882000,8833600,9189500,33514500,2663500,10778900,3360399,2366200,14997186,1283400,83354200,40312900,34647800,26098200,3804000
2020-07-10,90257200,26177600,35918000,497676000,22982700,13280000,3676200,3783200,12615800,13775700,28954200,81142900,56483300,4414800,13386000,28027800,489500,6258800,4400900,8974900,2391600,4282400,2245100,6202500,5161400,24459019,983600,2923200,2206481,1326100,109720000,350064000,44236800,2745300,2714100,3967000,7524200,2033500,3252200,5057900,18951000,6218100,9218300,40955600,2691400,10458000,2466825,2281800,12725057,982700,57550400,32885300,24008200,22008800,3133900
2020-07-13,191649200,38135600,42954000,457076000,24674900,21549000,3480700,5555400,15965600,17965500,32079200,73598100,51038800,4449600,14904000,27151800,786400,8679900,4819700,6708000,4263300,6951900,3455600,8507400,8114245,56569129,1052800,4297300,2408731,2528100,154408000,584781000,42338400,4437500,3221600,4845600,9464500,3469700,4227000,6180900,20028300,7074000,5887000,43364700,3708400,7440800,2743428,2301700,13742084,1829700,102997500,64108100,34235500,20515500,4803200
2020-07-14,170989200,37591800,38108000,542676000,23378100,18363000,5666700,5854700,15510300,19303500,42731700,67423100,118952600,5202000,16075600,35814400,567300,7862300,4044400,7961500,4234900,7447100,2642900,6765600,8397100,32854129,869200,4122800,2283862,2368300,144638000,351271500,26455800,4614200,4138600,4850600,8780900,2578200,4360700,7368900,21444100,7440500,4953500,39256200,6540800,7256800,2811438,2538000,13946091,1651500,93657000,72230500,28114000,35121300,3986700
2020-07-15,153198000,32179400,31026000,403984000,19133600,15253000,2566200,7681800,10570800,15705000,22508400,57384400,61714300,12516700,17424200,27676300,767600,9873300,5405600,7798200,5116900,8512800,2346200,5661600,7709717,26294454,1137200,6205000,2857788,1650100,115778000,245517000,31731300,4343700,3735400,5343700,10300700,3533900,3496200,7332400,17332400,5935200,5777100,48044800,4915200,9036900,3166661,4841800,18022606,1992300,87196500,54523900,40770100,28888600,3403600
2020-07-16,110577600,29940700,26484000,344964000,18880700,12929000,2677700,7350000,8779300,17709400,16886900,78067100,48676800,5769600,25026800,18824000,729900,12191300,2666000,6105600,3844500,9304700,1486800,4269200,5850774,18421812,1002600,7582200,3116664,1530900,127884000,214512000,17676600,2511200,2111100,3594700,6649300,3109900,4124800,7335700,14673700,4795700,4655700,35050000,3621500,5684100,3923154,2528200,10502384,1142400,54622500,47594100,30530800,24677200,3526900
2020-07-17,92186800,31635300,34264000,266284000,18152400,13354000,2568200,4324300,14344800,20389700,16137700,66659100,39184100,3614300,16263800,19747400,1150200,11840000,2861600,9154500,3016500,7441100,2935800,6890900,8191378,23347365,1206700,8315500,3976877,2044800,95226000,139950000,18189600,3091300,1972600,7405700,6087500,2715500,3898800,4899600,17958900,5964000,6699300,26170500,2458200,10789100,5184577,2782400,12029771,1140400,62774900,35137900,20644100,19641800,2549100
2020-07-20,90318000,36884800,30166000,284852000,20872200,14323000,3512500,5729000,11469300,15966500,14458100,61114000,38682200,2268700,10423600,23472600,706700,9564100,3560100,7234100,2375500,6191500,1806200,4823300,5434194,36815693,1511200,5677900,2290742,1497400,151964000,256821000,18342600,2451100,2157100,5822300,8832700,3825900,2769000,5158200,18553900,14974800,6407600,25294300,2478000,6688300,5173648,2365900,9844356,1314500,56308800,40610100,19663300,17996600,3989200
2020-07-21,103433200,37990400,27486000,277036000,19364200,14312000,2027600,5376800,11875100,16044700,17798100,75499300,58395200,3393500,11951200,21943200,523000,11384700,4227100,9232100,2340200,5575900,1540700,8239000,8967526,23588520,1486900,5063500,2505288,1821600,122426000,241608000,21712500,2439900,3505400,5855600,10637500,3195400,2628300,5111900,28821800,15115000,7950900,40740500,3221100,7395200,2540034,2054400,14019625,1079300,57292200,43243800,24503800,21179700,6098200
2020-07-22,89001600,49605700,24482000,367292000,15427900,14404000,1400300,2833000,13842400,27218300,14271200,52193700,41030500,4978400,13604000,17873400,460500,7585000,4360300,6305500,1935800,5910200,1686500,4441800,12362103,90705554,2283900,4662000,2872339,1598100,82084000,212416500,16164600,2750000,3484400,4097000,9213100,3876600,4613000,5132300,21345400,10317500,5158400,29790300,2156800,5758700,1908315,3508200,13143364,1246300,57792900,29865500,24424800,18023400,6296600
2020-07-23,197004400,67457000,33910000,411660000,21771800,19417000,2313900,3639500,12576000,23750200,12870200,61047600,50791000,4088600,13527000,17090400,453600,7457300,4239800,5988200,2367700,6566300,2408800,5127200,11558916,59639536,1522300,5905800,4872283,2532000,113138000,364927500,16796400,2680100,2702200,4530500,7795100,3267500,3664800,4905100,17934400,6586300,5953500,29587200,1613700,6043300,2785762,2349200,13769391,943800,75738000,51363500,21704900,16080700,12117200
2020-07-24,185438800,39827000,29902000,473292000,18325800,15631000,1900800,3908400,8939700,16983600,12744200,50217600,39357000,3191500,6860800,16258900,421600,6577600,4790300,7385800,2415700,5405900,2247900,5169400,9068763,33870501,1323400,4534400,3513946,2187900,112648000,290949000,13037400,2984500,2199900,5638400,5673400,3832900,3740100,3482100,16415300,6620500,5202600,28548000,2036300,6058900,4634766,2539000,13131567,910800,73766600,54054500,20015500,16017900,11071700
2020-07-27,121214000,30160900,27124000,292132000,13163100,20646000,1622000,3015700,10319600,15576000,11959100,54721300,34761000,2601200,12087100,13991400,618500,10588000,3501800,6452300,2060500,5675200,2709700,5030700,10958307,27640307,1312700,3717900,2993712,2155700,83410000,240730500,14045700,2412500,4541700,4273400,6771100,2423400,2791100,3439300,18547900,7599700,5312400,30243800,2506900,10194300,3584376,4446000,14185812,887100,48293000,36445700,13370700,16368200,5606100
2020-07-28,103625600,23251400,30910000,271636000,14170100,13974000,1463400,3114200,13030100,13975300,11754300,48406500,30505200,2139600,7287900,13121400,488900,8882800,3567400,7658800,2257400,4842200,3483100,5941800,8494564,56393954,1107000,4114200,2337780,2266600,62534000,237130500,14414100,2227000,6051000,3822600,12273400,2337000,3571600,3837300,19190500,6787300,6188300,25349100,2029900,13111800,4142356,2497600,15255125,850000,57495000,31302400,13268000,20470300,6080700
2020-07-29,90329200,19632600,22676000,284508000,13588300,16562000,1489300,3747800,7242700,11618200,12743500,71393500,31442100,2635000,8074300,16991000,724800,6592700,2791700,6527700,2672700,4489100,3108900,5512000,6398040,37033660,1099300,4744200,3379037,3286700,59482000,141403500,14223300,2874100,3342900,6872400,15261100,2095800,2732600,3927700,14143200,6386900,6305200,51709600,2338300,11162500,3513502,6769600,29782982,1886900,48454200,27556900,19864400,20055900,9727900
2020-07-30,158130000,25079600,36042000,308880000,20615300,21259000,1449000,3587400,7633200,15385100,14834800,61755900,51019200,3057900,9410100,24154600,341200,7323500,3856300,6202100,2205300,5922500,6638100,6411500,7152600,32273796,1142800,3176900,1913539,1967400,122566000,114315000,13788300,2347800,2705700,4018400,7889800,3606300,2574600,4473200,29901100,10112800,13421000,29140000,3063500,12292100,2916795,30970900,25586567,1235700,61861700,41774500,23618900,24664100,3052800
2020-07-31,374336800,51044000,91468000,386080000,53005100,24719000,2034000,3734000,9355800,17701100,14535000,61955800,45537900,2399700,9669900,22485800,375900,10384800,4088200,7707300,3913500,8259600,5342700,14613000,12291154,28472124,1217900,4604000,2014044,2830100,161710000,183123000,21631500,3640600,3194700,5509900,7423800,3267100,3928300,5125600,32116200,19119800,7719900,30263100,6780900,11437200,4308933,7429900,28609840,1409600,84986800,53686300,29881500,36002300,5277900
