date,price,ma_50,ma_200,regime,ma_cross
2020-10-13,326.4125061035156,314.6904327392578,,Bear,Death
2020-10-14,324.3615417480469,315.04815979003905,,Bear,Death
2020-10-15,323.9606628417969,315.35979919433595,,Bear,Death
2020-10-16,323.7648620605469,315.6262969970703,,Bear,Death
2020-10-19,318.8425598144531,315.7898895263672,,Bear,Death
2020-10-20,320.11962890625,315.96045288085935,,Bear,Death
2020-10-21,319.5137023925781,316.1703387451172,,Bear,Death
2020-10-22,321.26641845703125,316.32911193847656,,Bear,Death
2020-10-23,322.3570861816406,316.5210260009766,,Bear,Death
2020-10-26,316.4000244140625,316.59361267089844,,Bear,Death
2020-10-27,315.3092041015625,316.62451232910155,,Bear,Death
2020-10-28,304.53228759765625,316.4263153076172,,Bear,Death
2020-10-29,307.6273803710937,316.31620727539064,,Bear,Death
2020-10-30,304.42041015625,316.1224603271484,,Bear,Death
2020-11-02,307.83251953125,315.97466796875,,Bear,Death
2020-11-03,313.267578125,315.87169494628904,,Bear,Death
2020-11-04,320.26885986328125,315.8864636230469,,Bear,Death
2020-11-05,326.5149841308594,315.96208435058594,,Bear,Death
2020-11-06,326.4404296875,316.022099609375,,Bear,Death
2020-11-09,330.5423278808594,316.12236755371094,,Bear,Death
2020-11-10,330.0575561523437,316.23652587890626,,Bear,Death
2020-11-11,332.5094909667969,316.3386242675781,,Bear,Death
2020-11-12,329.2838134765625,316.28149841308596,,Bear,Death
2020-11-13,333.8425598144531,316.5441528320313,,Bear,Death
2020-11-16,338.0097961425781,316.9425225830078,,Bear,Death
2020-11-17,336.1918334960937,317.47835815429687,,Bear,Death
2020-11-18,332.1458435058594,317.81107543945313,,Bear,Death
2020-11-19,333.5441589355469,318.281328125,,Bear,Death
2020-11-20,331.2602233886719,318.7027459716797,,Bear,Death
2020-11-23,333.2459716796875,319.08216735839846,,Bear,Death
2020-11-24,338.61572265625,319.53722717285154,,Bear,Death
2020-11-25,338.0936889648437,320.00691650390627,,Bear,Death
2020-11-27,339.0352783203125,320.5507781982422,,Bear,Death
2020-11-30,337.5343322753906,321.13642456054686,,Bear,Death
2020-12-01,341.2260437011719,321.8645196533203,,Bear,Death
2020-12-02,341.9439392089844,322.54488464355467,,Bear,Death
2020-12-03,341.8507080078125,323.3662060546875,,Bear,Death
2020-12-04,344.7966613769531,324.2304119873047,,Bear,Death
2020-12-07,344.08807373046875,324.98293029785157,,Bear,Death
2020-12-08,345.09503173828125,325.65378662109373,,Bear,Death
2020-12-09,341.9998474121094,326.29667236328123,,Bear,Death
2020-12-10,341.887939453125,326.8903338623047,,Bear,Death
2020-12-11,341.48712158203125,327.4358923339844,,Bear,Death
2020-12-14,339.9581604003906,328.01053649902343,,Bear,Death
2020-12-15,344.55426025390625,328.5667248535156,,Bear,Death
2020-12-16,345.09503173828125,329.2237847900391,,Bear,Death
2020-12-17,347.0247497558594,329.81073486328125,,Bear,Death
2020-12-18,345.6390686035156,330.3136633300781,,Bear,Death
